"uf","codigo_ibge","municipio","tipo","status"
"PA","1505064","Novo Repartimento","bandeira","revisao_pendente"
"PA","1505106","Óbidos","brasao","revisao_pendente"
"PA","1505106","Óbidos","bandeira","revisao_pendente"
"PA","1505205","Oeiras do Pará","brasao","nao_encontrado"
"PA","1505205","Oeiras do Pará","bandeira","nao_encontrado"
"PA","1505304","Oriximiná","brasao","revisao_pendente"
"PA","1505304","Oriximiná","bandeira","revisao_pendente"
"PA","1505403","Ourém","brasao","nao_encontrado"
"PA","1505403","Ourém","bandeira","revisao_pendente"
"PA","1505437","Ourilândia do Norte","brasao","revisao_pendente"
"PA","1505437","Ourilândia do Norte","bandeira","revisao_pendente"
"PA","1505486","Pacajá","brasao","revisao_pendente"
"PA","1505486","Pacajá","bandeira","revisao_pendente"
"PA","1505494","Palestina do Pará","brasao","nao_encontrado"
"PA","1505494","Palestina do Pará","bandeira","nao_encontrado"
"PA","1505502","Paragominas","brasao","revisao_pendente"
"PA","1505502","Paragominas","bandeira","revisao_pendente"
"PA","1505536","Parauapebas","brasao","revisao_pendente"
"PA","1505536","Parauapebas","bandeira","revisao_pendente"
"PA","1505551","Pau D'Arco","brasao","nao_encontrado"
"PA","1505551","Pau D'Arco","bandeira","nao_encontrado"
"PA","1505601","Peixe-Boi","brasao","nao_encontrado"
"PA","1505601","Peixe-Boi","bandeira","nao_encontrado"
"PA","1505635","Piçarra","brasao","nao_encontrado"
"PA","1505635","Piçarra","bandeira","nao_encontrado"
"PA","1505650","Placas","brasao","revisao_pendente"
"PA","1505650","Placas","bandeira","revisao_pendente"
"PA","1505700","Ponta de Pedras","brasao","revisao_pendente"
"PA","1505700","Ponta de Pedras","bandeira","revisao_pendente"
"PA","1505809","Portel","brasao","revisao_pendente"
"PA","1505809","Portel","bandeira","revisao_pendente"
"PA","1505908","Porto de Moz","brasao","nao_encontrado"
"PA","1505908","Porto de Moz","bandeira","nao_encontrado"
"PA","1506005","Prainha","brasao","nao_encontrado"
"PA","1506005","Prainha","bandeira","revisao_pendente"
"PA","1506104","Primavera","brasao","revisao_pendente"
"PA","1506104","Primavera","bandeira","revisao_pendente"
"PA","1506112","Quatipuru","brasao","revisao_pendente"
